DIR,YAML_FULL_PATH,WITHIN_MANIFEST_SECRET,VALID_TAINT_SECRET,SEC_CONT_OVER_PRIVIL,INSECURE_HTTP,NO_SECU_CONTEXT,NO_DEFAULT_NSPACE,NO_RESO,NO_ROLLING_UPDATE,NO_NETWORK_POLICY,TRUE_HOST_PID,TRUE_HOST_IPC,DOCKERSOCK_PATH,TRUE_HOST_NET,CAP_SYS_ADMIN,HOST_ALIAS,ALLOW_PRIVI,SECCOMP_UNCONFINED,CAP_SYS_MODULE,K8S_STATUS,HELM_STATUS
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/multi-project.yaml,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/apps-with-ingress.1.19.yaml,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/single-project.yaml,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/dockerfile.yaml,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/multirepo.yaml,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/dapr.yaml,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/apps-with-ingress.1.18.yaml,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/frontend-backend.yaml,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/generate/generate-named-binding.yaml,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/projects/azure-functions/frontend-backend-production.example.yaml,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/projects/multi-project/deploy/rabbitmq.yaml,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tye/test/E2ETest/testassets/projects/frontend-backend/frontend-backend-production.example.yaml,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
,,0,14,0,25,4,2,1,24,46,1,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,2,,,,3,1,,,,,,,,,,,
